Transcript_ID,Log2FC,FDR_padj,Inferred_Product
GBZR01011776.1,18.49,5.04e-01,TSA: Hypsibius dujardini Hduj_v1_tr_11787 transcribed RNA sequence
GBZR01007799.1,16.7,5.04e-01,TSA: Hypsibius dujardini Hduj_v1_tr_07806 transcribed RNA sequence
GBZR01000616.1,13.52,5.04e-01,TSA: Hypsibius dujardini Hduj_v1_tr_00616 transcribed RNA sequence
GBZR01011008.1,4.43,5.04e-01,TSA: Hypsibius dujardini Hduj_v1_tr_11015 transcribed RNA sequence
GBZR01012413.1,3.8,5.04e-01,TSA: Hypsibius dujardini Hduj_v1_tr_12425 transcribed RNA sequence
GBZR01002904.1,-8.4,5.04e-01,TSA: Hypsibius dujardini Hduj_v1_tr_02905 transcribed RNA sequence
GBZR01001349.1,-12.61,5.04e-01,TSA: Hypsibius dujardini Hduj_v1_tr_01349 transcribed RNA sequence
GBZR01000648.1,-12.7,5.04e-01,TSA: Hypsibius dujardini Hduj_v1_tr_00648 transcribed RNA sequence
GBZR01009500.1,-16.73,5.04e-01,TSA: Hypsibius dujardini Hduj_v1_tr_09507 transcribed RNA sequence
GBZR01007265.1,-16.88,5.04e-01,TSA: Hypsibius dujardini Hduj_v1_tr_07271 transcribed RNA sequence
GBZR01000520.1,-17.75,5.04e-01,TSA: Hypsibius dujardini Hduj_v1_tr_00520 transcribed RNA sequence
